,district_id,total_rev,total_locrev,pta_rev,prop_taxes,sales_taxes,public_utility_taxes,income_taxes,other_taxes,total_salaries,salaries_instruction,salaries_teachers
5905,2200178.0,1573000,565000,0,0,0,0,0,0,463000,231000,231000
5906,2200179.0,2226000,1036000,0,0,0,0,0,0,675000,447000,331000
5907,2200180.0,66746000,26304000,0,12359000,12432000,0,0,0,35579000,23134000,14657000
5908,2200181.0,2124000,933000,0,0,0,0,0,0,684000,365000,242000
5909,2200182.0,10913000,5897000,0,0,0,0,0,0,3235000,2170000,1798000
5910,2200183.0,4906000,2401000,0,0,0,0,0,0,1855000,1104000,992000
5911,2200184.0,0,0,0,0,0,0,0,0,0,0,0
5912,2200185.0,0,0,0,0,0,0,0,0,0,0,0
5913,2200210.0,37542000,27227000,0,21555000,4753000,0,0,0,18829000,12236000,8096000
5914,2200240.0,25378000,8316000,0,5145000,2872000,0,0,0,13635000,7265000,3760000
5915,2200270.0,245723000,107882000,0,56159000,43945000,0,0,0,122558000,78044000,51432000
5916,2200300.0,492273000,218411000,0,127035000,79273000,0,0,0,248721000,151250000,89822000
5917,2200330.0,384652000,179075000,0,57671000,109972000,0,0,0,191711000,125607000,77879000
5918,2200360.0,21261000,5695000,0,3218000,2091000,0,0,0,10743000,6972000,3964000
5919,2200390.0,30406000,13388000,0,9179000,0,0,0,0,12428000,7771000,4980000
5920,2200420.0,17974000,4383000,0,889000,3007000,0,0,0,9369000,5871000,3351000
5921,2200450.0,21031000,7651000,0,4011000,2971000,0,0,0,9914000,5672000,3509000
5922,2200480.0,39075000,12125000,0,5463000,5268000,0,0,0,20432000,12719000,8033000
5923,2200510.0,91522000,68459000,0,44211000,22038000,0,0,0,40625000,25630000,13985000
5924,2200540.0,591307000,333220000,0,148528000,171325000,0,0,0,273226000,174733000,100651000
5925,2200570.0,13994000,3151000,0,628000,1960000,0,0,0,6697000,3760000,1998000
5926,2200600.0,23336000,7131000,0,2582000,3691000,0,0,0,11604000,6755000,4836000
5927,2200630.0,60311000,16578000,0,7782000,7561000,0,0,0,29797000,20273000,12791000
5928,2200660.0,33982000,7764000,0,2235000,5043000,0,0,0,16388000,10177000,6045000
5929,2200690.0,32295000,6563000,0,3358000,2357000,0,0,0,15303000,9717000,6709000
5930,2200720.0,154323000,57594000,0,20139000,30486000,0,0,0,76331000,51800000,30686000
5931,2200750.0,89495000,60010000,0,32826000,24475000,0,0,0,37168000,23531000,14447000
5932,2200780.0,26821000,13010000,0,6040000,6196000,0,0,0,14155000,9077000,5925000
5933,2200810.0,64912000,20299000,0,7891000,10709000,0,0,0,33938000,20689000,12671000
5934,2200840.0,569308000,284651000,0,79276000,187455000,0,0,0,259734000,171843000,93967000
5935,2200870.0,345809000,192031000,0,64003000,120120000,0,0,0,175661000,115228000,65452000
5936,2200900.0,172848000,86515000,0,41875000,33286000,0,0,0,85583000,53436000,33869000
5937,2200960.0,30647000,11344000,0,3316000,7275000,0,0,0,15036000,9727000,6373000
5938,2200990.0,81146000,40685000,0,17367000,21825000,0,0,0,41106000,26584000,17920000
5939,2201020.0,250933000,69463000,0,17121000,43175000,0,0,0,131140000,87706000,58244000
5940,2201050.0,20487000,6466000,0,2415000,3505000,0,0,0,9433000,5066000,2960000
5941,2201080.0,109397000,45163000,0,14730000,29072000,0,0,0,57361000,37695000,17637000
5942,2201110.0,54326000,14285000,0,5531000,6434000,0,0,0,24644000,16461000,10068000
5943,2201140.0,72541000,24080000,0,8742000,12734000,0,0,0,35445000,25158000,15992000
5944,2201170.0,483330000,324963000,0,148299000,123557000,0,0,0,85993000,52828000,32183000
5945,2201200.0,225452000,77852000,0,26540000,44492000,0,0,0,119428000,69917000,46685000
5946,2201230.0,91680000,49127000,0,26009000,21642000,0,0,0,32698000,18559000,10220000
5947,2201260.0,35416000,14607000,0,6696000,7390000,0,0,0,16673000,10922000,6127000
5948,2201290.0,244241000,78944000,0,35163000,38234000,0,0,0,126543000,84873000,54082000
5949,2201320.0,23814000,14749000,0,10479000,3762000,0,0,0,12565000,7972000,4696000
5950,2201350.0,34912000,11033000,0,4850000,5609000,0,0,0,18446000,11759000,8030000
5951,2201380.0,51975000,16188000,0,6371000,8589000,0,0,0,24628000,16156000,9747000
5952,2201410.0,93034000,31556000,0,13349000,16037000,0,0,0,37171000,24948000,17034000
5953,2201440.0,156417000,117124000,0,68212000,44471000,0,0,0,84135000,51940000,30150000
5954,2201470.0,14586000,3906000,0,2226000,1461000,0,0,0,5896000,3266000,2009000
5955,2201500.0,61686000,42264000,0,24252000,16181000,0,0,0,30312000,19544000,12730000
5956,2201530.0,96187000,44072000,0,16594000,24609000,0,0,0,40847000,26655000,14731000
5957,2201560.0,143169000,39302000,0,12747000,23268000,0,0,0,75067000,51162000,31648000
5958,2201590.0,91107000,31938000,0,12037000,17399000,0,0,0,45533000,28580000,18456000
5959,2201620.0,101502000,45267000,0,21780000,18095000,0,0,0,56481000,36663000,21723000
5960,2201650.0,477405000,221901000,0,119426000,89781000,0,0,0,244097000,159998000,94749000
5961,2201680.0,196349000,55039000,0,7797000,39112000,0,0,0,105090000,69269000,42849000
5962,2201710.0,9455000,3149000,0,1956000,785000,0,0,0,4558000,2583000,1258000
5963,2201740.0,188039000,70268000,0,8163000,55443000,0,0,0,89943000,58969000,35945000
5964,2201770.0,31819000,14491000,0,5688000,7188000,0,0,0,13798000,7587000,5028000
5965,2201800.0,95828000,34656000,0,13523000,12400000,0,0,0,53216000,34448000,22637000
5966,2201830.0,105542000,21954000,0,7349000,12554000,0,0,0,53856000,34687000,23192000
5967,2201860.0,56107000,9449000,0,3278000,4859000,0,0,0,28085000,17500000,10824000
5968,2201890.0,72252000,26624000,0,10686000,14652000,0,0,0,34551000,22357000,15079000
5969,2201920.0,52102000,30430000,0,12184000,16857000,0,0,0,27796000,19542000,10340000
5970,2201950.0,21033000,4655000,0,1548000,2756000,0,0,0,11410000,7298000,4944000
5971,2201980.0,30015000,16094000,0,9484000,5774000,0,0,0,16022000,9799000,5926000
5972,2202010.0,27451000,7319000,0,2802000,3930000,0,0,0,13652000,8585000,5329000
5973,2280100.0,0,0,0,0,0,0,0,0,0,0,0
5974,2300004.0,545000,250000,250000,0,0,0,0,0,0,0,0
5975,2300005.0,291000,93000,91000,0,0,0,0,0,2000,0,0
5976,2300008.0,1840000,1667000,1649000,0,0,0,0,0,580000,324000,214000
5977,2300009.0,484000,438000,423000,0,0,0,0,0,203000,163000,139000
5978,2300049.0,130000,0,0,0,0,0,0,0,889000,889000,0
5979,2300050.0,0,0,0,0,0,0,0,0,0,0,0
5980,2300051.0,0,0,0,0,0,0,0,0,0,0,0
5981,2300052.0,105000,102000,81000,0,0,0,0,0,20000,0,0
5982,2300053.0,13486000,10802000,0,10364000,0,0,0,0,5898000,4143000,2976000
5983,2300056.0,0,0,0,0,0,0,0,0,0,0,0
5984,2300057.0,0,0,0,0,0,0,0,0,0,0,0
5985,2300058.0,0,0,0,0,0,0,0,0,0,0,0
5986,2300059.0,0,0,0,0,0,0,0,0,0,0,0
5987,2300061.0,44000,44000,44000,0,0,0,0,0,0,0,0
5988,2300062.0,2796000,1094000,851000,0,0,0,0,0,1056000,736000,474000
5989,2300063.0,387000,369000,369000,0,0,0,0,0,0,0,0
5990,2300064.0,4305000,159000,0,0,0,0,0,0,2123000,1473000,635000
5991,2300065.0,1281000,882000,851000,0,0,0,0,0,399000,290000,185000
5992,2300066.0,3181000,15000,0,0,0,0,0,0,1845000,1324000,745000
5993,2300067.0,1372000,1118000,1103000,0,0,0,0,0,400000,293000,198000
5994,2300068.0,752000,626000,499000,0,0,0,0,0,252000,189000,127000
5995,2300069.0,3817000,103000,0,0,0,0,0,0,1893000,1230000,731000
