,school_id,grad_rate_all,grad_rate_native,grad_rate_asian,grad_rate_black,grad_rate_hispanic,grad_rate_mixed,grad_rate_linc
710,40015701728.0,20.0,,,,,,
711,40015703046.0,30.0,,,,20.0,,30.0
712,40015901791.0,,,,,,,
713,40016001779.0,,,,,,,
714,40016301821.0,,,,,,,
715,40016302429.0,50.0,40.0,,,,,
716,40016303138.0,50.0,40.0,,,,,
717,40019201910.0,,,,,,,
718,40020102069.0,30.0,,,,20.0,,30.0
719,40020201959.0,,,,,,,
720,40020401962.0,25.0,,,,20.0,,25.0
721,40020903364.0,,,,,,,
722,40021101975.0,,,,,,,
723,40021200061.0,,,,,,,
724,40021202444.0,21.0,,,,,,
725,40021203232.0,,,,,,,
726,40021401980.0,,,,,,,
727,40021902011.0,45.0,,,,40.0,,25.0
728,40021902328.0,30.0,,,,30.0,,
729,40021902367.0,,,,,,,
730,40022302199.0,80.0,,,,,,
731,40022501887.0,,,,,,,
732,40023102021.0,,,,,,,
